Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Stawberry Flavored Water 15 Bottles,15 bottles / 10 fl oz,2.79,https://www.kroger.com/product/images/medium/front/0001111089045,Water
"Ralphs_14400 Culver Dr, Irvine, CA",FIJI Natural Artesian Water,6 ct / 1 l,13.99,https://www.kroger.com/product/images/medium/front/0063256500010,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Acqua Panna Natural Spring Water,25.3 fl oz,1.99,https://www.kroger.com/product/images/medium/front/0004150863448,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Arrowhead 100% Mountain Spring Water,12 bottles / 8 fl oz,3.29,https://www.kroger.com/product/images/medium/left/0007114200948,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Evian Natural Spring Water,6 ct / 1 L,10.99,https://www.kroger.com/product/images/medium/front/0007929860007,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Arrowhead 100% Mountain Spring Water,6 bottles / 16.9 fl oz,2.79,https://www.kroger.com/product/images/medium/front/0007114200126,Water
"Ralphs_14400 Culver Dr, Irvine, CA",BODYARMOR Electrolyte Sport Water,6 bottles / 20 fl oz,5.99,https://www.kroger.com/product/images/medium/front/0085000994204,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Ralphs Purified Water,16.9 Fl Oz,0.59,https://www.kroger.com/product/images/medium/front/0001111087721,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Ralphs Natural Spring Water,24 bottles / 16.9 fl oz,3.49,https://www.kroger.com/product/images/medium/front/0001111090049,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Evian Natural Spring Water,6 bottles / 16.9 fl oz,6.99,https://www.kroger.com/product/images/medium/front/0007929800019,Water
"Ralphs_14400 Culver Dr, Irvine, CA",(LMTD QTY) SmartWater Vapor Distilled Water with Electrolytes,6 bottles / 33.8 fl oz,9.99,https://www.kroger.com/product/images/medium/front/0078616200281,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Aquafina Bottled Water,1 L,1.25,https://www.kroger.com/product/images/medium/front/0001200000157,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Core Hydration Water,6 bottles / 30.4 fl oz,10.99,https://www.kroger.com/product/images/medium/front/0081985802002,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Purified Drinking Water,12 bottles / 16.9 fl oz,1.99,https://www.kroger.com/product/images/medium/front/0001111049212,Water
"Ralphs_14400 Culver Dr, Irvine, CA",(LMTD QTY) SmartWater Vapor Distilled Water,6 ct / 16.9 fl oz,5.99,https://www.kroger.com/product/images/medium/front/0078616200369,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Arrowhead Mountain Spring Water,12 bottles / 12 fl oz,3.69,https://www.kroger.com/product/images/medium/front/0007114281777,Water
